id;account_number;i_fsc_code;name;mid;status
1;Tonga maroon;Money Market Account;data-warehouse;even-keeled Chair;navigate
2;Avon;primary;expedite Automotive;TCP Kyat;Usability
3;primary backing up eco-centric;AGP Gorgeous Rubber Soap;Utah;Optional;Maine protocol
4;Reverse-engineered;Cotton Martinique;human-resource;El Salvador Borders;Alabama
5;Zimbabwe Dollar;motivating CSS;Licensed;Cheese model Data;Innovative violet haptic
6;Program Specialist;parsing synergistic;Borders;interface Avon Colorado;Toys
7;Iowa Principal;Wyoming value-added;Configuration synergy Agent;encompassing Investment Account;Sudan Yen Tenge
8;fault-tolerant;interface;mindshare;override invoice Hat;Soap
9;parsing connecting navigating;tan incubate Bedfordshire;Clothing portal mint green;lavender upward-trending Movies;Producer Circle Assistant
10;mission-critical matrix yellow;Pizza Cambridgeshire dot-com;Fish Generic Soft Chicken;Buckinghamshire Garden unleash;Sausages
